ZONA PORTUARIA;SOCIEDAD PORTUARIA;TIPO DE CARGA;EXPORTACION;IMPORTACIÓN;TRANSBORDO;TRANSITO INTERNACIONAL;FLUVIAL;CABOTAJE;AÑO VIGENCIA;MES VIGENCIA
CARTAGENA;VOPAK COLOMBIA S.A.;GRANEL LIQUIDO;0;11176;0;;;;2018;12
BARRANQUILLA;BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.;GENERAL;0;14034;0;;;277;2020;5
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;CONTENEDORES;101601;106065;402489;;;16871;2020;6
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;GENERAL;0;18717;0;1384;;;2020;4
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GRANEL LIQUIDO;85747;31312;0;;;;2019;8
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;CONTENEDORES;44213;73495;0;476;;0;2019;9
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GENERAL;0;45857;0;;;;2020;6
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GENERAL;3623;6286;117;;;112;2018;2
SAN ANDRES;SAN ANDRES PORT SOCIETY SA;GENERAL;0;100;0;;;5467;2020;12
BARRANQUILLA;SOCIEDAD PORTUARIA RIVERPORT S.A.;CARBON AL GRANEL;35016;0;0;;;;2018;8
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GENERAL;0;17727;0;;;;2019;1
BARRANCABERMEJA;ECOPETROL S.A.;GRANEL LIQUIDO;0;0;0;;120560;;2019;4
GUAJIRA;CERREJON ZONA NORTE S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;6805;0;;;;2018;11
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GENERAL;5228;20465;1110;;;;2019;9
CARTAGENA;TERMINAL DE CONTENEDORES DE CARTAGENA S. A.;CONTENEDORES;135539;192358;1206618;;;;2018;5
CARTAGENA;SOCIEDAD PORTUARIA DEL DIQUE S.A.;GRANEL LIQUIDO;0;6699;0;;;23286;2020;6
CARTAGENA;PUERTO BUENAVISTA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;25425;0;;;;2019;5
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;354007;0;;;;2018;7
CARTAGENA;SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.;GRANEL LIQUIDO;0;62013;0;;;;2019;12
CARTAGENA;ZONA FRANCA ARGOS S.A.S.;GRANEL SOLIDO DIFER. DE CARBON;71780;0;0;;;;2018;10
SAN ANDRES;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;4852;2019;2
SANTA MARTA;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;0;181101;0;;;114818;2020;8
TUMACO;ROMERO Y BURGOS & CIA S.EN C.;GRANEL LIQUIDO;0;0;0;;119;;2018;6
BUENAVENTURA;GRUPO PORTUARIO S.A;CARBON AL GRANEL;52745;0;0;;;;2019;2
BARRANQUILLA;BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.;CARBON AL GRANEL;36581;0;0;;;6328;2018;10
G. MORROSQUILLO;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;46702;0;;;;2020;10
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GRANEL LIQUIDO;0;31757;0;;;;2018;6
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;CARBON AL GRANEL;94061;0;0;;;;2018;11
GUAJIRA;CERREJON ZONA NORTE S.A.;CARBON AL GRANEL;2273310;0;0;;;;2019;12
CARTAGENA;SOCIEDAD PORTUARIA DEXTON S.A.;GRANEL LIQUIDO;5274;4283;0;;;;2019;7
G. MORROSQUILLO;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;CARBON AL GRANEL;32650;0;0;;;;2018;4
BARRANCABERMEJA;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;GRANEL LIQUIDO;0;0;0;;93884;;2018;4
CARTAGENA;PUERTO BUENAVISTA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;17049;0;;;;2018;10
CARTAGENA;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;7248;2019;1
BARRANQUILLA;BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.;CARBON AL GRANEL;13000;0;0;;;;2019;11
CARTAGENA;PUERTO BUENAVISTA S.A;GENERAL;2001;0;0;;;1896;2020;10
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;CONTENEDORES;50891;209809;0;;;696;2019;1
Z.P. RIO MAGDALENA;PUERTO PIMSA S.A.;GENERAL;0;136;0;;;;2020;7
SAN ANDRES;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;7285;2018;9
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;GENERAL;24;60577;0;;4670;958;2019;7
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GENERAL;133;61101;0;;;;2020;1
SAN ANDRES;SAN ANDRES PORT SOCIETY SA;GENERAL;0;254;0;;;3741;2018;2
TUMACO;ROMERO Y BURGOS & CIA S.EN C.;GRANEL LIQUIDO;0;0;0;;103;;2018;9
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GENERAL;0;27830;0;;;;2019;9
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;CARBON AL GRANEL;133111;0;0;;;;2019;12
GUAJIRA;PUERTO BRISA S.A.;CARBON AL GRANEL;58251;0;0;;;;2019;6
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;GENERAL;0;86314;0;;;;2019;8
CARTAGENA;PUERTO BUENAVISTA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;10447;0;;;;2018;6
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;CONTENEDORES;0;0;280;;;;2019;5
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;GENERAL;212;24988;0;;;;2020;9
BUENAVENTURA;GRUPO PORTUARIO S.A;GRANEL SOLIDO DIFER. DE CARBON;0;59916;0;;;;2019;3
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;GRANEL LIQUIDO;0;3998;0;;;;2019;2
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;CONTENEDORES;45902;179305;0;;;1191;2019;11
BUENAVENTURA;GRUPO PORTUARIO S.A;GRANEL SOLIDO DIFER. DE CARBON;0;39316;0;;;;2018;3
G. MORROSQUILLO;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;405416;51706;0;;;;2020;12
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;GRANEL SOLIDO DIFER. DE CARBON;73585;77825;0;;;;2020;9
GUAJIRA;PUERTO BRISA S.A.;GENERAL;0;22000;0;;;;2019;7
CARTAGENA;COREMAR SHOREBASE SA;GRANEL LIQUIDO;0;0;0;;443;;2019;6
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;GENERAL;198;3843;0;;;;2020;2
CARTAGENA;PUERTO BUENAVISTA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;42649;0;;;;2018;3
SAN ANDRES;SAN ANDRES PORT SOCIETY SA;CONTENEDORES;0;3105;0;91;;5901;2019;2
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;GRANEL SOLIDO DIFER. DE CARBON;77757;33029;0;;;;2020;2
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GRANEL LIQUIDO;18427;25452;0;;;;2020;2
BARRANQUILLA;SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.;GRANEL LIQUIDO;0;15653;0;;;;2020;11
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GENERAL;1839;17897;0;;;3;2018;9
TURBO;C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN;GENERAL;26448;26;0;;;;2019;9
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;CARBON AL GRANEL;82877;0;0;;;;2019;10
BARRANQUILLA;SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;20904;0;;;;2019;12
BARRANCABERMEJA;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;GENERAL;0;0;0;;3009;;2019;6
CARTAGENA;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;4852;2019;2
GUAJIRA;CERREJON ZONA NORTE S.A.;CONTENEDORES;0;192;0;;;;2020;4
BARRANQUILLA;SOCIEDAD PORTUARIA RIVERPORT S.A.;CARBON AL GRANEL;27936;0;0;;;;2019;12
CIENAGA;SOCIEDAD PORTUARIA PUERTO NUEVO S.A.;CARBON AL GRANEL;1782383;0;0;;;;2019;10
BUENAVENTURA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;107448;0;;;;2020;7
GUAJIRA;CERREJON ZONA NORTE S.A.;CONTENEDORES;23;331;0;;;;2019;12
CARTAGENA;OILTANKING COLOMBIA SA;GRANEL LIQUIDO;0;28996;0;;;;2018;7
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;GRANEL LIQUIDO;15990;0;0;;;;2020;10
SANTA MARTA;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;0;298040;0;;;24297;2019;9
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL LIQUIDO;0;0;0;;;18192;2019;7
TURBO;PORTUARIA PUNTA DE VACA S.A.;GRANEL LIQUIDO;0;0;0;;;1414;2019;12
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;GENERAL;4821;1591;0;;;;2020;7
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;CARBON AL GRANEL;23735;0;0;;;;2019;11
CARTAGENA;ZONA FRANCA ARGOS S.A.S.;GRANEL SOLIDO DIFER. DE CARBON;67116;48714;0;;;;2020;4
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;CARBON AL GRANEL;39790;0;0;;;;2020;12
TURBO;PROMOTORA BANANERA S.A;GENERAL;7;0;0;;;;2019;2
BARRANQUILLA;SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;37582;0;;;;2018;1
TURBO;PROMOTORA BANANERA S.A;CONTENEDORES;11438;0;0;;;;2019;3
BARRANQUILLA;BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.;CARBON AL GRANEL;14999;0;0;;;;2019;12
TUMACO;SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A;GRANEL LIQUIDO;0;0;0;;;3322;2020;12
BUENAVENTURA;GRUPO PORTUARIO S.A;GRANEL SOLIDO DIFER. DE CARBON;0;68723;0;;;;2020;3
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;CONTENEDORES;79393;180404;0;;;12004;2020;10
CARTAGENA;SOCIEDAD PORTUARIA TRANSMARSYP S.A.;CONTENEDORES;0;0;0;;;5372;2018;11
BARRANCABERMEJA;ECOPETROL S.A.;GRANEL LIQUIDO;0;0;0;;67288;;2018;2
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;GRANEL LIQUIDO;0;8970;0;;;;2018;7
CARTAGENA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GENERAL;117;6854;0;;;;2020;3
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;GENERAL;15;261;0;;;;2018;10
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;CONTENEDORES;0;28;0;;;;2018;12
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GENERAL;2369;26004;794;;;;2019;2
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GRANEL LIQUIDO;42135;31183;0;;;;2019;11
G. MORROSQUILLO;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;949393;0;0;;;69477;2020;5
CARTAGENA;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;7045;2019;9
BARRANCABERMEJA;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;GRANEL LIQUIDO;0;0;0;;68270;;2019;2
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;GENERAL;38;213;0;;;;2020;11
TUMACO;ROMERO Y BURGOS & CIA S.EN C.;GRANEL LIQUIDO;0;0;0;;135;;2018;4
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;CONTENEDORES;11094;55369;0;;;;2018;2
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;CONTENEDORES;79;40;0;;;;2020;5
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;CONTENEDORES;52290;90365;332120;;;;2018;4
CARTAGENA;VOPAK COLOMBIA S.A.;GRANEL LIQUIDO;0;4701;0;;;;2018;7
SAN ANDRES;SAN ANDRES PORT SOCIETY SA;CONTENEDORES;201;915;0;;;3611;2020;4
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;CONTENEDORES;0;26;0;;;;2019;1
TURBO;C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN;CONTENEDORES;10177;4096;0;;;28704;2020;7
BUENAVENTURA;GRUPO PORTUARIO S.A;GRANEL SOLIDO DIFER. DE CARBON;0;44790;0;;;;2019;4
CARTAGENA;SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.;GRANEL LIQUIDO;0;74710;0;;;;2018;12
TURBO;C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN;CONTENEDORES;54770;13831;0;;;;2019;3
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;CONTENEDORES;56875;101882;256109;;;;2018;11
GUAJIRA;CERREJON ZONA NORTE S.A.;GRANEL LIQUIDO;0;23191;0;;;;2019;12
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GRANEL LIQUIDO;111320;0;0;;;;2019;10
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;3548;0;;;;2018;4
TUMACO;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;38023;0;0;;;;2018;4
BUENAVENTURA;SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.;CONTENEDORES;63557;117731;73937;;;;2018;2
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GRANEL LIQUIDO;0;6614;0;;;;2019;10
BUENAVENTURA;SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.;CONTENEDORES;50988;108942;67926;;;;2018;6
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;GENERAL;0;31216;0;;;;2020;7
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;21530;0;;;;2019;2
TURBO;PORTUARIA PUNTA DE VACA S.A.;GRANEL LIQUIDO;0;0;0;;;708;2020;6
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;GENERAL;0;13355;0;;;;2019;4
CARTAGENA;PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.;GRANEL LIQUIDO;0;2242;0;;;;2020;5
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;38210;0;;;;2020;10
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GENERAL;6821;53523;0;;;6000;2018;2
CARTAGENA;ZONA FRANCA ARGOS S.A.S.;GRANEL SOLIDO DIFER. DE CARBON;82394;0;0;;;;2019;2
CIENAGA;SOCIEDAD PORTUARIA PUERTO NUEVO S.A.;CARBON AL GRANEL;1406797;0;0;;;;2018;1
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;CONTENEDORES;0;14;0;;;;2019;1
CARTAGENA;TERMINAL DE CONTENEDORES DE CARTAGENA S. A.;CONTENEDORES;124480;164728;1215628;;;56608;2020;5
BARRANCABERMEJA;ECOPETROL S.A.;GRANEL LIQUIDO;0;0;0;;76626;;2018;7
TUMACO;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;48554;0;0;;;;2018;12
SAN ANDRES;SAN ANDRES PORT SOCIETY SA;GENERAL;0;39;0;;;3661;2020;6
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;GENERAL;1097;10831;0;;;;2019;6
TUMACO;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;50427;0;0;;;;2019;12
BUENAVENTURA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;56677;0;;;;2019;1
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;GENERAL;32;39;4;;;;2019;8
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;CONTENEDORES;66020;181715;0;;;540;2019;8
G. MORROSQUILLO;OLEODUCTO CENTRAL SA;GRANEL LIQUIDO;1693794;0;0;;;;2020;8
BARRANQUILLA;ATUNAMAR LIMITADA;GENERAL;0;0;0;;;4177;2018;9
BUENAVENTURA;SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.;CONTENEDORES;77564;149433;107287;;;;2018;1
CARTAGENA;PUERTO BUENAVISTA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;25831;0;;;;2019;10
BARRANQUILLA;SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.;GRANEL LIQUIDO;0;5521;0;;;;2018;5
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;GENERAL;0;67683;0;;;;2018;8
SANTA MARTA;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;0;343756;0;;;51526;2018;10
BARRANCABERMEJA;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;GRANEL LIQUIDO;0;0;0;;117059;;2019;3
GUAJIRA;PUERTO BRISA S.A.;CARBON AL GRANEL;64791;0;0;;;;2018;7
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;GENERAL;10;27661;0;;;553;2020;9
CARTAGENA;ALGRANEL S.A.;GRANEL LIQUIDO;2737;9190;0;;;;2020;8
CARTAGENA;TERMINAL DE CONTENEDORES DE CARTAGENA S. A.;GENERAL;73;101;43;;;;2018;10
CIENAGA;AMERICAN PORT COMPANY INC;CARBON AL GRANEL;2519886;0;0;;;;2019;10
TUMACO;ROMERO Y BURGOS & CIA S.EN C.;GRANEL LIQUIDO;0;0;0;;0;;2020;11
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;169157;0;;;;2018;4
BUENAVENTURA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;79277;0;;;;2018;4
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GRANEL SOLIDO DIFER. DE CARBON;0;201329;0;;;;2020;2
BARRANCABERMEJA;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;GRANEL LIQUIDO;0;0;0;;65786;;2019;12
CARTAGENA;OILTANKING COLOMBIA SA;GRANEL LIQUIDO;0;30060;0;;;;2019;6
TUMACO;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;50413;0;0;;;;2018;9
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;GENERAL;0;8566;0;;;;2018;10
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GRANEL SOLIDO DIFER. DE CARBON;0;170804;0;;;;2018;7
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GENERAL;53;65783;0;;;;2018;5
BARRANQUILLA;SOCIEDAD PORTUARIA RIVERPORT S.A.;CARBON AL GRANEL;52529;0;0;;;;2020;2
SANTA MARTA;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;0;155210;0;;;33626;2020;4
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GRANEL LIQUIDO;35187;17267;0;;;;2018;10
SAN ANDRES;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;7248;2019;1
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GENERAL;2737;10617;2846;;;;2019;12
CARTAGENA;SOCIEDAD PORTUARIA BAVARIA S.A;GRANEL SOLIDO DIFER. DE CARBON;5500;55799;0;;;;2020;8
CARTAGENA;TERMINAL DE CONTENEDORES DE CARTAGENA S. A.;GENERAL;57;15;118;;;;2020;7
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GENERAL;180;11928;0;;;1648;2018;9
CARTAGENA;TERMINAL DE CONTENEDORES DE CARTAGENA S. A.;CONTENEDORES;119719;162081;1082938;;;;2018;6
CARTAGENA;SOCIEDAD PORTUARIA DEL DIQUE S.A.;GRANEL LIQUIDO;0;3934;0;;;30935;2018;6
CARTAGENA;SOCIEDAD PORTUARIA DEXTON S.A.;GRANEL LIQUIDO;29248;9161;0;;;;2018;12
SANTA MARTA;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;0;294543;0;;;143943;2018;3
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;GENERAL;21;28127;0;;;0;2019;11
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GENERAL;954;16478;622;;;810;2019;9
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;CONTENEDORES;0;28;0;;;;2018;6
BARRANCABERMEJA;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;GRANEL LIQUIDO;0;0;0;;76117;;2019;4
CIENAGA;SOCIEDAD PORTUARIA PUERTO NUEVO S.A.;CARBON AL GRANEL;1073715;0;0;;;;2020;1
CARTAGENA;SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.;GRANEL LIQUIDO;0;12991;0;;;;2019;8
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GENERAL;47;4590;36;;;;2020;12
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;CARBON AL GRANEL;93904;0;0;;;;2020;8
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;55050;0;;;;2018;10
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GENERAL;0;15083;0;;;;2018;5
GUAJIRA;PUERTO BRISA S.A.;CARBON AL GRANEL;81107;0;0;;;;2020;10
CARTAGENA;ALGRANEL S.A.;GRANEL LIQUIDO;2250;1093;0;;;;2020;5
GUAJIRA;CERREJON ZONA NORTE S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;6526;0;;;;2018;8
GUAJIRA;SOCIEDAD PORTUARIA DE LA PENINSULA S.A.;GENERAL;0;638;0;;;;2019;1
G. MORROSQUILLO;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;CARBON AL GRANEL;11326;0;0;;;;2018;7
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GRANEL LIQUIDO;189711;30924;0;;;;2018;10
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;GENERAL;5039;75;0;;;;2020;5
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;GENERAL;0;17571;0;;;;2020;1
BARRANCABERMEJA;ECOPETROL S.A.;GRANEL LIQUIDO;0;0;0;;76549;;2020;8
CARTAGENA;SOCIEDAD PORTUARIA DEXTON S.A.;GRANEL LIQUIDO;3337;10350;0;;;;2019;8
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;CONTENEDORES;0;0;218;;;;2019;4
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;GENERAL;0;267;0;;;;2019;1
BARRANQUILLA;SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.;GRANEL LIQUIDO;3567;13990;0;;;;2018;12
GUAJIRA;CERREJON ZONA NORTE S.A.;CARBON AL GRANEL;1299850;0;0;;;;2020;4
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;CARBON AL GRANEL;15767;0;0;;;;2019;6
CARTAGENA;PUERTO BUENAVISTA S.A;GENERAL;10000;17;0;;;1854;2020;7
CARTAGENA;SOCIEDAD PORTUARIA DEL DIQUE S.A.;GRANEL LIQUIDO;0;0;0;;;11309;2019;1
BARRANQUILLA;BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.;GRANEL SOLIDO DIFER. DE CARBON;9943;55184;0;;;;2019;10
CARTAGENA;SOCIEDAD PORTUARIA BAVARIA S.A;GENERAL;27510;0;0;;;;2019;12
CARTAGENA;ZONA FRANCA ARGOS S.A.S.;GRANEL SOLIDO DIFER. DE CARBON;87328;32500;0;;;;2019;4
BARRANCABERMEJA;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;GENERAL;0;0;0;;1443;;2019;8
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;415013;0;;;;2019;9
BARRANCABERMEJA;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;GRANEL LIQUIDO;0;0;0;;55005;;2018;3
BARRANQUILLA;SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.;GRANEL LIQUIDO;2498;6500;0;;;;2019;6
