ZONA PORTUARIA;SOCIEDAD PORTUARIA;TIPO DE CARGA;EXPORTACION;IMPORTACIÓN;TRANSBORDO;TRANSITO INTERNACIONAL;FLUVIAL;CABOTAJE;AÑO VIGENCIA;MES VIGENCIA
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;CONTENEDORES;0;24552;307;;;;2019;3
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;CONTENEDORES;59183;105870;317727;;;;2019;6
CARTAGENA;OILTANKING COLOMBIA SA;GRANEL LIQUIDO;0;17696;0;;;;2018;10
CARTAGENA;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;2437;2020;10
BARRANQUILLA;VOPAK COLOMBIA S.A.;GRANEL LIQUIDO;0;10074;0;;;;2018;8
GUAJIRA;PUERTO BRISA S.A.;CARBON AL GRANEL;76608;0;0;;;;2020;7
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;116949;0;;;;2020;6
TURBO;C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN;CONTENEDORES;11738;3607;0;;;21576;2020;5
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;CARBON AL GRANEL;60024;0;0;;;;2020;9
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;CARBON AL GRANEL;212535;0;0;;;;2019;7
BARRANQUILLA;BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;38769;0;;;6504;2018;8
BARRANCABERMEJA;ECOPETROL S.A.;GRANEL LIQUIDO;0;0;0;;79588;;2020;5
CARTAGENA;PUERTO BUENAVISTA S.A;GENERAL;6380;0;0;;;537;2019;2
CARTAGENA;PUERTO BUENAVISTA S.A;GENERAL;10717;0;0;;;1109;2019;6
BARRANQUILLA;SOCIEDAD PORTUARIA RIVERPORT S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;64530;0;;;;2020;4
CIENAGA;AMERICAN PORT COMPANY INC;CARBON AL GRANEL;2656474;0;0;;;;2019;8
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;CARBON AL GRANEL;55005;0;0;;;;2020;9
BUENAVENTURA;SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.;CONTENEDORES;38172;102890;48706;;;;2019;1
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GRANEL SOLIDO DIFER. DE CARBON;0;203594;0;;;4400;2019;3
BARRANQUILLA;PALERMO SOCIEDAD PORTUARIA S.A;CONTENEDORES;0;223;0;;;;2020;7
CARTAGENA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;CONTENEDORES;13722;13033;3456;19368;;;2020;8
BARRANCABERMEJA;ECOPETROL S.A.;GRANEL LIQUIDO;0;0;0;;75169;;2018;8
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;56455;0;;;;2019;3
CARTAGENA;ZONA FRANCA ARGOS S.A.S.;GRANEL SOLIDO DIFER. DE CARBON;49351;48500;0;;;;2019;11
CARTAGENA;ALGRANEL S.A.;GRANEL LIQUIDO;2725;11874;0;;;;2020;9
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GENERAL;0;28838;0;;;;2020;4
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL LIQUIDO;0;12557;0;;;10185;2019;2
BARRANQUILLA;VOPAK COLOMBIA S.A.;GRANEL LIQUIDO;31277;10942;0;;;;2018;4
CARTAGENA;TERMINAL DE CONTENEDORES DE CARTAGENA S. A.;GENERAL;0;102;406;;;;2019;10
CARTAGENA;ALGRANEL S.A.;GRANEL LIQUIDO;1261;4154;0;;;;2019;12
Z.P. RIO MAGDALENA;PUERTO PIMSA S.A.;GENERAL;0;378;0;;;33837;2020;4
BARRANCABERMEJA;ECOPETROL S.A.;GRANEL LIQUIDO;0;0;0;;35152;;2019;1
BUENAVENTURA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;62006;0;;;;2020;12
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;GRANEL SOLIDO DIFER. DE CARBON;132;0;0;;;;2019;2
CARTAGENA;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;7316;2018;7
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GENERAL;493;16430;4100;;;20;2019;3
TUMACO;SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A;GRANEL LIQUIDO;0;0;0;;;2978;2019;11
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GENERAL;0;19185;0;;;;2019;12
CARTAGENA;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;7236;2019;8
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GRANEL LIQUIDO;85919;52558;0;;;;2019;9
BUENAVENTURA;GRUPO PORTUARIO S.A;CARBON AL GRANEL;70365;0;0;;;;2018;7
BARRANQUILLA;BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.;CARBON AL GRANEL;12406;0;0;;;;2019;4
G. MORROSQUILLO;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;33600;0;;;;2020;3
CARTAGENA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;19773;0;;;;2020;6
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;CARBON AL GRANEL;0;26001;0;;;;2018;5
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;CARBON AL GRANEL;71903;0;0;;;;2019;10
CARTAGENA;SOCIEDAD PORTUARIA TRANSMARSYP S.A.;CONTENEDORES;0;0;0;;;4898;2018;10
CARTAGENA;ZONA FRANCA ARGOS S.A.S.;GRANEL SOLIDO DIFER. DE CARBON;94171;0;0;;;;2018;7
CARTAGENA;PUERTO BUENAVISTA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;29501;0;;;;2019;3
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;CONTENEDORES;142452;222403;385190;;;;2019;5
CIENAGA;SOCIEDAD PORTUARIA PUERTO NUEVO S.A.;CARBON AL GRANEL;918434;0;0;;;;2019;4
CARTAGENA;NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A;GRANEL LIQUIDO;0;0;0;;;7167;2018;8
SAN ANDRES;SAN ANDRES PORT SOCIETY SA;GENERAL;0;95;0;;;3689;2019;6
SAN ANDRES;SAN ANDRES PORT SOCIETY SA;GRANEL SOLIDO DIFER. DE CARBON;0;0;0;;;2960;2020;5
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GENERAL;275;11846;2564;;;690;2018;12
BUENAVENTURA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;98082;0;;;;2019;10
